vendor	model	board_id
Lenovo	Notebook 300e 2nd Gen	BM5860 V1.3
Lenovo	ThingPad T14s Gen 4	NM-F221
Lenovo	ThinkBook 13s G2 ITL	LV550 13MB 19869-2
Lenovo	ThinkBook 14 G4 ABA	LA-M062P
Lenovo	ThinkBook 14 G6 IRL	223107-1
Lenovo	ThinkBook 14-IIL, ThinkBook 15-IIL	DALVACMB8D0
Lenovo	ThinkBook 14s Yoga ITL	LA-K051P
Lenovo	ThinkBook 15 G4 IAP	LA-L931P
Lenovo	ThinkBook 15P Gen 2	NM-E021
Lenovo	ThinkBook 15p IMH	NM-D091
Lenovo	ThinkBook 16 G4+ ARA	NB6009_MB_V7
Lenovo	ThinkBook 16P G2 ACH	Type 20YM
Lenovo	ThinkBook 16p Gen 2	BM5070 V1.4
Lenovo	ThinkCentre M73z All-in-One	12103-1
Lenovo	ThinkCentre M910z All-in-One	IQ270SV
Lenovo	Thinkpad A485	EA481 NM-B711
Lenovo	Thinkpad E14 Gen 3	NM-D481
Lenovo	Thinkpad E15 Type 20RD, 20RE	NM-C421
Lenovo	Thinkpad E16 Gen 2	NM-F941
Lenovo	Thinkpad E495	FE495/FE595 NM-C061
Lenovo	Thinkpad E555	NM-A241
Lenovo	ThinkPad L14 Gen 2 (Intel)	HL4A0_HL5A0 NM-D271
Lenovo	Thinkpad L14 Gen 2 Consumer 32MB	NM-D271
Lenovo	Thinkpad L14 Gen 2 Corporate 32MB + 16MB	NM-D271
Lenovo	ThinkPad L390 (LKL-2 MB 18724-1M) Non-VPro	
Lenovo	Thinkpad L460 Non-VPro	NM-A651
Lenovo	Thinkpad L460 VPRO 2x8MB SPI	NM-A651
Lenovo	Thinkpad L480 Non-VPro	NM-B461
Lenovo	ThinkPad L540 Non-VPro 8Mb	LPD-1 MB 12290-2
Lenovo	ThinkPad L540 VPRO 8Mb + 4Mb	LPD-1 MB 12290-1M
Lenovo	ThinkPad L590	NM-B931
Lenovo	Thinkpad P1 gen 3	19770-1
Lenovo	ThinkPad P50S	LZS-2 15202-2
Lenovo	ThinkPad P52	NM-B561
Lenovo	ThinkPad S440	LA-9761P
Lenovo	ThinkPad T14 Gen 1	NM-C801
Lenovo	ThinkPad T14 Gen 3	NM-E441
Lenovo	ThinkPad T14 Gen 3	NM-E981
Lenovo	ThinkPad T450	NM-A251
Lenovo	ThinkPad T460	NM-A581
Lenovo	ThinkPad T460P	NM-A611
Lenovo	ThinkPad T470	NM-A931
Lenovo	ThinkPad X1 Carbon	11246-1 LGS-1 MB
Lenovo	ThinkPad X1 Carbon 3rd Gen	LMQ2 MB 13268-1
Lenovo	ThinkPad X1 Carbon 7th Gen Corporate LP	NM-C881
Lenovo	ThinkPad X1 Carbon Gen 8	NM-C661
Lenovo	ThinkPad X1 Nano Gen 1	ZS1TL-7 19796-1
Lenovo	ThinkPad X1 Yoga 3rd Gen VPRO	LRV3 MB 17800-1
Lenovo	Thinkpad X12 Detachable Gen 1	LH1 TGL MB 10L 19835-1
Lenovo	ThinkPad X280	EX280 NM-B521
Lenovo	ThinkPad X390 Yoga	LBB-1 MB 18729-1
Lenovo	ThinkPad Yoga 260	AIZS1 LA-C581P
Lenovo	ThinkPad Yoga 370	LA-E292P
Lenovo	ThinkPad Yoga L380	LKL-1 MB 17821-2M
Lenovo	ThinkStation P310	IQ1X0MS
Lenovo	V530-24ICB AIO	ECA10 LA-F901P
Microsoft	Surface Pro 2	
Microsoft	Surface Pro 3	
Samsung	NP350V5C	LA-8861P
Samsung	NP355E7C	LA-8863P
